Trace,Exp,CPU 0 cumulative IPC,CPU 1 cumulative IPC,CPU 2 cumulative IPC,CPU 3 cumulative IPC,CPU 4 cumulative IPC,CPU 5 cumulative IPC,CPU 6 cumulative IPC,CPU 7 cumulative IPC,CPU 8 cumulative IPC,CPU 9 cumulative IPC,CPU 10 cumulative IPC,CPU 11 cumulative IPC,LLC_AVG_MISS_LAT_CYCLES,CXL_READS_QDELAY_NS,CXL_WRITES_QDELAY_NS,CXL_RDBUS_UTILIZATION,CXL_WRBUS_UTILIZATION,CXL_RDBUS_CONGESTED,CXL_WRBUS_CONGESTED,MISS,LLC_MPKI,Filter
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_12T,base,0.608027,0.608363,0.609134,0.609132,0.608146,0.608778,0.608817,0.608877,0.608826,0.609006,0.60889,0.608916,245.871,1.86184,2.48976,0.372609,0.157408,0,0,7569307.29166667,37.8465364583333,1
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.68684,1.68729,1.68817,1.68771,1.68637,1.68768,1.6878,1.6881,1.68831,1.68826,1.68761,1.6884,148.71,0.10145,0.617358,0.111119,0.119473,0,0,986713.125,4.933565625,1
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_12T,base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_12T,base,1.52024,1.52041,1.52116,1.52123,1.52064,1.52135,1.52161,1.52149,1.52143,1.52104,1.52124,1.5199,106.091,0.0386003,0.96559,0.0654049,0.137627,0,0,874667.458333333,4.37333729166667,1
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_12T,base,1.6764,1.67644,1.67692,1.67575,1.67566,1.67766,1.67725,1.67676,1.67716,1.67753,1.67707,1.67745,146.942,0.10588,0.589337,0.11045,0.118827,0,0,987671.416666667,4.93835708333333,1
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_12T,base,1.14817,1.1485,1.14792,1.14819,1.14781,1.14788,1.14787,1.14811,1.14815,1.14782,1.14862,1.14786,156.738,0.215022,2.2377,0.158493,0.210232,0,0,2243850.70833333,11.2192535416667,1
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_12T,base,0.986432,0.98776,0.990541,0.989834,0.986333,0.987861,0.988773,0.988676,0.988936,0.988726,0.989208,0.987978,205.899,0.863423,1.05016,0.303183,0.0296676,0,0,3483719.08333333,17.4185954166667,1
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_12T,base,1.67969,1.67998,1.68037,1.68009,1.67839,1.68073,1.67976,1.68052,1.68028,1.68016,1.68042,1.68044,148.757,0.102887,0.622432,0.111029,0.119375,0,0,990438.625,4.952193125,1
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_12T,base,0.733798,0.734407,0.735179,0.735099,0.733844,0.734718,0.734832,0.734956,0.735252,0.735314,0.735007,0.734546,228.933,1.69205,1.4824,0.38136,0.0787688,0,0,6032628.20833333,30.1631410416667,1
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.68707,1.68677,1.68714,1.68655,1.68544,1.6878,1.68736,1.68662,1.68699,1.68775,1.68725,1.68777,148.773,0.102144,0.614977,0.111075,0.119469,0,0,987520.416666667,4.93760208333333,1
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_12T,base,1.17285,1.1751,1.1748,1.17435,1.17417,1.17453,1.1754,1.17453,1.17458,1.17501,1.17436,1.17402,152.57,0.132977,0.712178,0.136145,0.155446,0,0,1774302.16666667,8.87151083333333,1
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49885,1.49929,1.49957,1.49936,1.49925,1.49902,1.49961,1.49924,1.4996,1.49948,1.4993,1.4995,105.93,0.0389609,0.986283,0.0660122,0.138929,0,0,896196.875,4.480984375,1
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_12T,base,0.633592,0.646969,0.634371,0.634408,0.633754,0.634431,0.634231,0.634525,0.63461,0.634135,0.634299,0.63422,221.291,1.44435,18.6143,0.317377,0.0892491,0,0,6018997.375,30.094986875,1
