Trace,Exp,CPU 0 cumulative IPC,CPU 1 cumulative IPC,CPU 2 cumulative IPC,CPU 3 cumulative IPC,CPU 4 cumulative IPC,CPU 5 cumulative IPC,CPU 6 cumulative IPC,CPU 7 cumulative IPC,CPU 8 cumulative IPC,CPU 9 cumulative IPC,CPU 10 cumulative IPC,CPU 11 cumulative IPC,LLC_AVG_MISS_LAT_CYCLES,CXL_READS_QDELAY_NS,CXL_WRITES_QDELAY_NS,CXL_RDBUS_UTILIZATION,CXL_WRBUS_UTILIZATION,CXL_RDBUS_CONGESTED,CXL_WRBUS_CONGESTED,MISS,LLC_MPKI,Filter
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_12T,base,0.328078,0.328037,0.328062,0.328089,0.32823,0.328052,0.328087,0.328073,0.328103,0.328127,0.328113,0.328213,517.102,0,0,0,0,0,0,6847451.75,34.23725875,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63744,1.63713,1.63714,1.6372,1.63721,1.63722,1.63726,1.63727,1.6373,1.63735,1.63736,1.63737,181.863,0,0,0,0,0,0,834441.291666667,4.17220645833333,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_12T,base,1.49872,1.49875,1.49876,1.49878,1.49879,1.49883,1.49885,1.49887,1.49889,1.49892,1.49892,1.49893,133.027,0,0,0,0,0,0,721740.875,3.608704375,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_12T,base,1.52615,1.52617,1.52617,1.5262,1.52623,1.52625,1.52632,1.52634,1.52635,1.52635,1.52636,1.52637,131.979,0,0,0,0,0,0,706879.708333333,3.53439854166667,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_12T,base,1.58708,1.58708,1.58713,1.58715,1.58716,1.58721,1.58722,1.58722,1.58729,1.58729,1.5873,1.58735,203.831,0,0,0,0,0,0,835057.291666667,4.17528645833333,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_12T,base,0.860232,0.860023,0.86004,0.860062,0.860077,0.860097,0.860105,0.860134,0.860147,0.860165,0.860178,0.860206,328.037,0,0,0,0,0,0,1865692.20833333,9.32846104166667,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_12T,base,0.844385,0.839977,0.842016,0.842814,0.84371,0.841922,0.840581,0.842821,0.841586,0.841235,0.844661,0.842667,251.983,0,0,0,0,0,0,3000696.5,15.0034825,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_12T,base,1.63266,1.63235,1.63241,1.63243,1.63244,1.63251,1.63251,1.63252,1.63256,1.63257,1.6326,1.63266,181.178,0,0,0,0,0,0,838208.458333333,4.19104229166667,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_12T,base,0.46332,0.463472,0.463161,0.463638,0.46349,0.463501,0.463222,0.463871,0.463735,0.463787,0.463486,0.463418,398.268,0,0,0,0,0,0,5346453.5,26.7322675,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.63931,1.63934,1.63936,1.63937,1.63945,1.63945,1.63946,1.63951,1.63951,1.63952,1.63959,1.63959,181.476,0,0,0,0,0,0,834556.583333333,4.17278291666667,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_12T,base,0.99332,0.993362,0.993366,0.993414,0.99346,0.993519,0.993556,0.993576,0.993612,0.99363,0.993686,0.99381,243.429,0,0,0,0,0,0,1492079.16666667,7.46039583333333,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49477,1.4948,1.49481,1.49484,1.49485,1.49486,1.49488,1.49488,1.4949,1.49492,1.49494,1.49495,133.113,0,0,0,0,0,0,723873.791666667,3.61936895833333,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_12T,base,0.481886,0.481297,0.481402,0.480842,0.481675,0.481255,0.481835,0.481348,0.480941,0.481218,0.480801,0.481334,339.452,0,0,0,0,0,0,4718872.83333333,23.5943641666667,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.6389,1.63895,1.63896,1.63902,1.63901,1.63902,1.63908,1.6391,1.6391,1.63915,1.63916,1.63919,181.429,0,0,0,0,0,0,834713.75,4.17356875,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_12T,base,0.993534,0.993097,0.993113,0.993158,0.993167,0.993177,0.993189,0.993204,0.993258,0.993275,0.993324,0.993529,243.581,0,0,0,0,0,0,1491008.25,7.45504125,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_12T,base,1.499,1.49879,1.49882,1.49882,1.49884,1.49887,1.49889,1.49893,1.49895,1.49896,1.49897,1.49899,132.995,0,0,0,0,0,0,721671.25,3.60835625,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_12T,base,0.814455,0.814467,0.814536,0.814712,0.81462,0.815263,0.814779,0.815754,0.816425,0.814795,0.817255,0.819421,270.617,0,0,0,0,0,0,2520871.45833333,12.6043572916667,0
