Workload,base.nopam.IPC,4X.50ns.TH70.IPC,speedup,base.nopam.BW,4X.50ns.TH70.BW,base.nopam.power,4X.50ns.TH70.power,8X.50ns.TH70.IPC,2X.50ns.TH70.IPC,4X.70ns.TH70.IPC,4X.50ns.nopam.IPC,4X.10ns.TH70.IPC,1C.base.nopam.IPC,4C.base.nopam.IPC,8C.base.nopam.IPC,1C.4X.50ns.TH70.IPC,4C.4X.50ns.TH70.IPC,8C.4X.50ns.TH70.IPC,base.pccnt.IPC,base.ideal.IPC,base.TH50.IPC,base.TH60.IPC,base.TH70.IPC,4X.50ns.pccnt.IPC,4X.50ns.ideal.IPC,4X.50ns.TH50.IPC,4X.50ns.TH60.IPC,DDR_L2LAT,DDR_PAM_RATIO,CXL_L2LAT,CXL_PAM_RATIO,CXL_LLCLAT,DDR_LLCLAT,BASE.LLC.HITR,CXL.LLC.HITR,PAM_hitrate,on_chip_delay_CXL,CXL_Queuing_delay,DDR_Queuing_delay,PAM.FNR,AS.OCT.BASE,AS.OCT.CXL,AS.QD.BASE,AS.QD.CXL,AS.AST.BASE,AS.AST.CXL,AS.CID.BASE,AS.CID.CXL
ST_copy,0.1746575833,0.4598201667,2.632695116,24.54913159,64.63051657,14289.56,42790.22,0.614909,0.296053,0.4369265833,0.4449365,0.4754719167,1.05615,0.46657425,0.257463875,0.871541,0.72600275,0.5728185,0.17464875,0.1746575833,0.17474825,0.17473825,0.1747445833,0.4598201667,0.4598153333,0.4488851667,0.4525249167,972.135,0,454.625,101.9377915,137.5,350.417,0.23,0.095,0.84,12.222,63.831,259.742,0.16,26.0,6.235,231.321,33.938,38.5,45.25,0.0,45.25
ST_scale,0.2083666667,0.520819,2.499531275,24.40579398,61.00265176,14222.51,41370.72,0.6782598333,0.3374200833,0.4925469167,0.50093525,0.5430515833,1.07941,0.506226,0.3039455,0.924886,0.7723835,0.6345815,0.2083215,0.20832,0.2083626667,0.2083468333,0.2083666667,0.520819,0.5207761667,0.5078376667,0.5131598333,898.094,0,428.904,102.1740641,129.167,316.667,0.23,0.097,0.94,10.697,57.589,228.599,0.06,26.0,3.931,205.333,26.338,38.5,45.15,0.0,45.15
ST_add,0.161309,0.34430675,2.13445468,25.77213317,54.81031768,14535.27,38443.56,0.41055475,0.2430851667,0.3164405833,0.3184884167,0.3947565833,0.674013,0.35923775,0.224298125,0.480338,0.444943,0.394131875,0.161309,0.1613016667,0.16033675,0.1604176667,0.160589,0.3443190833,0.3443365833,0.3319248333,0.3399591667,661.255,0,365.592,104.0675524,124.167,254.583,0.2,0.097,1.0,9.776,53.996,172.538,0.0,26.0,2.522,163.667,21.823,40.0,45.15,0.0,45.15
ST_triad,0.1696510833,0.34792375,2.050819501,23.22452886,47.44186503,13537.11,35879.83,0.4137149167,0.2577464167,0.32415925,0.3233110833,0.4275625833,0.679126,0.39596025,0.230118,0.473864,0.44333825,0.398936,0.1758950833,0.1758240833,0.1696510833,0.1705511667,0.17174375,0.3568813333,0.3568926667,0.34792375,0.3567726667,626.937,0,353.932,80.54838249,116.667,231.25,0.19,0.09,1.0,9.72,47.977,152.968,0.0,26.0,2.34,146.813,15.167,40.5,45.5,0.0,45.5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR-D,0.2959,0.5341,1.80500169,19.5186,39.754,12244.77,32644.945,0.6348,0.413,0.4944,0.507,0.5998,1.2228,0.6867,0.42195,0.8232,0.7221,0.61875,0.2853,0.2987,0.2925,0.2901,0.2867,0.5343,0.5385,0.5324,0.5332,644.6071,0,374.8943,96.9823,106.785,237.9615,0.354,0.164,0.891,13.027,28.263,115.591,0.04,26.0,5.133,121.404,5.673,32.295,41.81,0.0,41.81
Comp-sc,0.3386,0.5899,1.742173656,30.651,66.1431,15980.6,41795.88,0.6807,0.45,0.544,0.567,0.6907,1.4244,0.9459,0.546,0.8712,0.7533,0.6738,0.2733,0.3398,0.3389,0.3389,0.3389,0.6035,0.617,0.5748,0.5821,356.8763,0,323.8519,66.976,133.383,168.6229,0.222,0.076,0.608,15.959,52.456,85.287,0.318,26.0,9.624,92.289,30.839,38.9,46.19,0.0,46.19
Comp,0.3608,0.6158,1.706762749,32.0635,65.2132,16503.25,41393.66,0.7072,0.465,0.5664,0.589,0.7264,1.4376,0.9624,0.57255,0.882,0.7761,0.70095,0.3017,0.3629,0.3606,0.3606,0.3605,0.6335,0.6445,0.5982,0.6067,363.7832,0,325.2284,67.4924,132.154,164.4529,0.179,0.056,0.624,15.676,54.558,86.545,0.319,26.0,9.291,93.931,30.356,41.035,47.205,0.0,47.205
BC,0.3219,0.5394,1.675675676,23.4782,39.9429,13496.1,31975.78,0.604,0.435,0.4852,0.493,0.6735,1.0776,0.6624,0.44295,0.7152,0.6501,0.59145,0.3225,0.3293,0.3247,0.325,0.3248,0.5403,0.5407,0.5367,0.5386,573.0805,0,353.2047,93.977,127.006,222.1479,0.162,0.076,0.922,11.409,54.957,136.685,0.068,26.0,3.607,144.226,24.956,41.89,46.205,0.0,46.205
PR,0.3516,0.5679,1.615187713,26.5097,55.7076,14518.63,37893.9625,0.6435,0.438,0.519,0.541,0.6786,1.1892,0.7872,0.51015,0.7764,0.7134,0.64125,0.298,0.3604,0.3553,0.355,0.3544,0.5762,0.587,0.5583,0.5631,412.4365,0,330.3578,71.199,132.42,188.2679,0.253,0.113,0.646,15.515,49.998,96.602,0.258,26.0,8.879,103.328,28.757,37.365,44.35,0.0,44.35
Radii,0.4013,0.5557,1.384749564,25.645,47.4326,14116.58,34556.77,0.5974,0.467,0.4936,0.504,0.7059,1.1664,0.8304,0.58575,0.7284,0.6429,0.59415,0.3253,0.4099,0.4016,0.4014,0.3947,0.5557,0.5623,0.5409,0.5535,278.6632,0,285.7489,101.6711,121.339,137.2642,0.299,0.116,0.907,12.504,41.231,54.848,0.0,26.0,3.018,61.155,18.863,35.04,44.2,0.0,44.2
CF,0.7975,0.9777,1.225956113,20.5552,25.5519,12194.91,25973.27,1.0253,0.896,0.8711,0.884,1.2781,1.5948,1.2531,1.0017,1.1088,1.0695,1.0209,0.8215,0.8266,0.8003,0.8034,0.8071,0.9777,0.9779,0.9777,0.9776,319.8381,0,303.2697,103.2685,114.649,118.1317,0.109,0.067,0.995,9.94,48.757,52.698,0.0,26.0,1.729,60.719,13.675,44.56,46.675,0.0,46.675
BFSCC,0.6457,0.7864,1.217903051,20.4583,27.9626,12313.145,27060.81,0.8288,0.702,0.6896,0.704,1.0654,1.4184,1.0692,0.84,0.9348,0.8673,0.82575,0.6571,0.683,0.6626,0.6693,0.676,0.7866,0.7877,0.7813,0.7859,374.0151,0,315.842,102.3734,106.949,139.7452,0.207,0.084,0.97,11.063,36.384,64.023,0.014,26.0,2.516,71.159,6.363,39.645,45.78,0.0,45.78
BellmF,0.8209,0.9727,1.184918991,18.6244,21.9167,11846.02,24971.12,1.0186,0.884,0.8547,0.874,1.3135,1.6344,1.2984,1.0422,1.0572,1.0608,1.01925,0.8634,0.8638,0.8379,0.8472,0.8609,0.9728,0.9729,0.9728,0.9727,447.9132,0,318.8021,102.402,85.955,140.4875,0.242,0.091,1.0,10.933,18.977,61.8,0.0,26.0,2.361,68.626,0.0,37.92,45.46,0.0,45.46
BFS,0.6595,0.7401,1.122213798,19.5959,26.3902,12006.685,26459.43,0.7743,0.679,0.6566,0.671,0.9737,1.2288,0.9975,0.8307,0.8544,0.8115,0.7743,0.6326,0.6974,0.6718,0.677,0.6831,0.7403,0.7435,0.7366,0.7393,338.5119,0,297.8303,99.4113,102.601,127.5865,0.281,0.121,0.933,12.072,29.141,49.314,0.01,26.0,3.36,55.785,2.287,35.95,43.97,0.0,43.97
BFS-BV,0.803,0.8332,1.037608966,23.0359,28.6268,13068.28,27054.62,0.8656,0.772,0.7258,0.739,1.1586,1.6344,1.2717,1.0239,1.0536,0.9123,0.8679,0.7672,0.859,0.8246,0.8278,0.8266,0.8332,0.8356,0.8331,0.8332,261.4416,0,293.173,104.4761,118.06,109.9808,0.192,0.07,0.957,11.127,46.03,41.218,0.001,26.0,1.834,48.494,16.798,40.425,46.505,0.0,46.505
Triangle,0.612,0.5544,0.9058823529,23.9816,30.538,13336.04,27701.8,0.574,0.515,0.4847,0.497,0.7629,0.9744,0.858,0.75405,0.6144,0.606,0.57915,0.5265,0.6692,0.6366,0.6369,0.6363,0.5543,0.5579,0.5518,0.5544,196.364,0,275.8754,103.8287,117.273,91.7275,0.285,0.088,0.901,12.49,39.153,23.39,0.0,26.0,2.298,29.823,15.751,35.735,45.595,0.0,45.595
MIS,1.1968,0.9267,0.7743148396,17.7363,22.6367,10939.02,24697.8,0.9485,0.903,0.8071,0.832,1.3063,1.56,1.3698,1.29525,1.0188,0.9966,0.9636,1.2212,1.4103,1.2078,1.2179,1.2313,0.9267,0.9331,0.9263,0.9266,177.6347,0,297.1043,115.3906,142.418,84.1058,0.316,0.202,0.821,13.609,53.889,17.167,0.005,26.0,5.347,23.322,33.87,34.19,39.925,0.0,39.925
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fluida,0.762,0.9654,1.266929134,13.545,17.2508,9636.72,22888.19,0.9978,0.884,0.9053,0.916,1.0927,1.2612,1.0944,0.90435,1.0548,1.0401,1.0038,0.7819,0.7806,0.772,0.7742,0.7757,0.9656,0.9656,0.9652,0.9654,714.4513,0,354.2324,100.0266,103.637,199.2775,0.23,0.11,0.991,10.956,22.789,108.07,0.004,26.0,2.933,115.003,3.238,38.52,44.52,0.0,44.52
facesim,0.7255,0.8506,1.172432805,13.7479,17.7703,9818.93,23195.75,0.8865,0.797,0.7728,0.784,1.0445,1.788,1.1862,0.91365,1.2924,0.9801,0.90375,0.7319,0.7527,0.737,0.7384,0,0.8502,0.8519,0.8505,0.8506,536.7199,0,325.371,101.1061,94.801,174.795,0.358,0.203,0.938,12.538,4.403,74.329,0.0,26.0,5.265,80.106,0.0,32.095,39.875,0.0,39.875
raytrace,1.1015,1.0684,0.9699500681,14.0127,13.754,9939.43,21475.08,1.1013,1.009,0.9297,0.957,1.5038,1.8432,1.4934,1.29405,1.0908,1.143,1.1076,1.1733,1.1734,1.1515,1.1639,1.1652,1.0687,1.069,1.0686,1.0688,281.1592,0,302.918,105.6987,73.748,75.2425,0.214,0.061,1.0,10.71,0.905,12.77,0.0,26.0,1.586,19.846,0.0,39.31,46.95,0.0,46.95
scluster,0.9465,0.9051,0.9562599049,25.6431,28.6101,13996.98,26987.53,0.9277,0.862,0.7958,0.817,1.2399,2.7876,1.2486,1.14015,1.1688,0.9612,0.93255,0.9149,1.0078,0.9462,0.9474,0.9461,0.9051,0.9066,0.905,0.9051,211.1414,0,287.4105,103.5933,116.142,83.5446,0.145,0.036,0.968,10.623,41.173,20.993,0.004,26.0,1.026,28.691,15.562,42.765,48.205,0.0,48.205
canneal,0.6095,0.5039,0.8267432322,11.7506,11.1354,8738.25,20116.15,0.5125,0.519,0.4464,0.455,0.6766,0.9708,0.768,0.68115,0.6948,0.579,0.53025,0.6622,0.6782,0.6503,0.6623,0.6623,0.5039,0.5042,0.5039,0.5039,204.4549,0,281.2341,103.3549,105.161,79.85,0.266,0.1234,0.958,11.652,20.032,15.298,0.0001,26.0,3.211,21.901,4.524,36.685,43.83,0.0,43.83
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lbm,0.1394,0.4239,3.040889527,21.7153,66.7348,13273.81,44403.12,0.43,0.255,0.414,0.421,0.4303,0.9648,0.3822,0.20775,1.0104,0.777,0.5538,0.1383,0.1395,0.1395,0.1395,0.1394,0.4247,0.4269,0.4219,0.4229,1995.47,0,656.3593,77.2674,170.696,495.8083,0.26,0.115,0.749,14.237,66.575,323.457,0.228,26.0,8.215,330.121,62.601,37.025,44.275,0.0,44.275
bwaves,0.3335,0.8208,2.461169415,12.5831,31.8541,9220.77,29032.67,0.9353,0.589,0.7604,0.765,0.936,0.9648,0.6615,0.4518,1.0608,0.9831,0.9006,0.3389,0.3403,0.3393,0.3387,0.3387,0.8215,0.8223,0.8225,0.8216,1176.7267,0,402.514,100.7709,129.576,435.7042,0.245,0.1127,0.989,11.108,40.842,284.261,0.0011,26.0,2.956,291.052,26.243,37.73,44.365,0.0,44.365
cactuB,0.6794,1.4516,2.13659111,11.0419,35.4687,8372.81,29873.6,1.6644,1.162,1.429,1.447,1.5672,1.422,1.1196,0.849,1.7412,1.6641,1.57215,0.6453,0.8012,0,0,0,1.4525,1.4795,1.452,1.455,988.429,0,298.4598,100.6452,161.452,290.7825,0.419,0.35,0.685,15.46,35.438,134.619,0.0,26.0,9.1,139.846,39.944,29.04,32.5,0.0,32.5
fotonik,0.3169,0.6123,1.932155254,19.2411,37.1858,11989.82,31303.95,0.6969,0.467,0.5653,0.574,0.7099,0.9192,0.6156,0.41295,0.8232,0.7461,0.6714,0.3202,0.3199,0.3176,0.318,0.3184,0.6121,0.6122,0.6123,0.6123,572.3428,0,353.8837,102.4393,109.543,201.9888,0.224,0.097,1.0,10.794,28.038,110.988,0.001,26.0,2.546,117.974,8.615,38.81,45.135,0.0,45.135
cam4,0.8693,1.6001,1.840676406,16.0387,30.4623,10878.8,28775.29,1.4814,1.255,1.5761,1.584,1.644,2.1708,1.6011,1.10895,2.0964,1.9767,1.7562,1.069,1.0801,0.8569,0.8563,0.8568,1.6025,1.6045,1.598,1.5995,3613.8008,0,984.4598,60.6347,249.309,398.8788,0.307,0.147,0.564,16.594,111.327,235.434,0.395,26.0,12.572,241.668,127.42,34.635,42.67,0.0,42.67
